Gen#	Conn.	MW
1	7	11.2682
2	20	11.2687
3	25	11.2691
4	81	11.2681
5	52	11.2682
6	105	379.225
7	114	156.747
8	115	293.267
9	120	68.7662
10	121	118.318
11	139	1951.75
12	135	242.704
13	144	11.2682
14	173	11.2683
15	178	284.166
16	184	703.843
17	181	84.9463
18	182	219.445
19	187	104.161
20	167	376.192
21	191	218.434
22	195	11.2682
23	161	207.31
24	163	11.2682
25	203	230.569
26	204	84.9463
27	206	202.254
28	171	1213.52
29	205	1213.52
30	212	480.347
31	215	1995.21
32	226	428.778
33	235	275.065
34	241	101.127
35	243	455.063
36	246	252.818
37	249	306.41
38	252	348.883
39	254	303.377
40	256	606.751
41	244	252.814
42	258	556.191
43	257	581.916
44	237	171.916
45	262	84.9463
46	4	472.262
47	8	630.019
48	13	1223.63
49	22	236.637
50	24	376.192
51	32	333.719
52	39	187.085
53	41	414.621
54	59	505.634
55	68	37.417
56	75	11.2681
57	79	45.5071
58	82	166.859
59	86	404.507
60	89	404.507
61	98	117.307
62	160	1306.56
63	177	707.888
64	201	559.231
65	270	11.2681
66	288	11.2681
67	290	11.2681
68	291	50.5634
69	292	8.09014
T.line#	From	To	From MW	To MW
71	58	31	-505.634	505.634
72	59	58	-505.634	505.634
73	47	60	-26.392	26.392
74	48	31	325.012	-325.012
75	48	55	-24.9949	24.9949
76	48	61	-35.7342	35.7342
77	31	62	-656.296	656.296
78	57	63	-7.12069	7.12069
79	57	60	7.7434	-7.7434
80	57	64	-32.5945	32.5945
81	65	63	-259.612	259.612
82	63	66	-131.759	131.759
83	63	67	22.6076	-22.6076
84	68	63	-37.4172	37.4172
85	65	62	236.059	-236.059
86	65	69	321.996	-321.996
87	65	70	-298.444	298.444
88	62	71	-420.237	420.237
89	66	72	-45.1284	45.1284
90	66	73	-28.6308	28.6308
91	60	74	22.3506	-22.3506
92	55	61	16.9551	-16.9551
93	75	55	-11.2684	11.2684
94	61	76	-13.7796	13.7796
95	76	77	47.22	-47.22
96	64	67	36.405	-36.405
97	67	77	69.0121	-69.0121
98	77	78	92.724	-92.724
99	79	77	-45.5074	45.5074
100	78	80	45.2313	-45.2313
101	78	81	-21.3676	21.3676
102	82	78	-166.859	166.859
103	80	83	59.2309	-59.2309
104	83	84	277.23	-277.23
105	69	85	321.996	-321.996
106	85	84	-99.7222	99.7222
107	86	84	-404.508	404.508
108	85	87	-182.663	182.663
109	85	88	199.872	-199.872
110	89	85	-404.508	404.508
111	81	87	182.663	-182.663
112	81	90	-145.3	145.3
113	91	92	26.756	-26.756
114	93	91	50.0928	-50.0928
115	91	94	23.3364	-23.3364
116	95	96	84.0993	-84.0993
117	95	97	-28.0997	28.0997
118	96	51	20.2688	-20.2688
119	96	72	62.5224	-62.5224
120	98	96	-117.307	117.307
121	51	53	44.6635	-44.6635
122	51	99	-13.9997	13.9997
123	72	70	274.077	-274.077
124	72	52	-37.728	37.728
125	72	92	5.04459	-5.04459
126	70	54	26.132	-26.132
127	70	100	-50.4997	50.4997
128	52	53	58.1774	-58.1774
129	53	101	265.662	-265.662
130	53	102	-10.5756	10.5756
131	53	103	-11.0997	11.0997
132	53	104	-29.5997	29.5997
133	101	92	-76.5643	76.5643
134	101	105	342.226	-342.226
135	92	94	3.23568	-3.23568
136	102	94	17.424	-17.424
137	71	54	-136.014	136.014
138	71	106	-150.202	150.202
139	71	107	-134.022	134.022
140	108	109	105.367	-105.367
141	108	110	-105.368	105.368
142	109	33	162.244	-162.244
143	109	111	-41.979	41.979
144	109	112	-14.8993	14.8993
145	33	113	-86.0012	86.0012
146	29	114	39.5314	-39.5314
147	30	115	64.0839	-64.0839
148	114	113	4.34495	-4.34495
149	114	116	-104.162	104.162
150	115	117	-73.65	73.65
151	115	118	-139.735	139.735
152	113	116	-21.3581	21.3581
153	116	119	-47.1847	47.1847
154	116	111	-43.8078	43.8078
155	116	117	5.37071	-5.37071
156	120	119	6.91702	-6.91702
157	120	111	-8.98452	8.98452
158	110	74	44.1742	-44.1742
159	110	121	27.7643	-27.7643
160	110	122	-36.9419	36.9419
161	110	123	-56.866	56.866
162	119	111	-40.2687	40.2687
163	111	124	-57.2419	57.2419
164	117	118	-36.2804	36.2804
165	124	121	-46.2439	46.2439
166	124	125	-2.39936	2.39936
167	118	74	-71.1239	71.1239
168	118	123	-55.2923	55.2923
169	121	126	-24.6994	24.6994
170	122	123	17.2953	-17.2953
171	122	73	2.4313	-2.4313
172	122	127	-25.9696	25.9696
173	123	128	-31.8643	31.8643
174	128	127	-12.265	12.265
175	127	129	-20.0354	20.0354
176	130	131	-7.95399	7.95399
177	131	132	-7.95443	7.95443
178	133	134	-0.230214	0.230214
179	133	135	0.229695	-0.229695
180	136	137	417.62	-417.62
181	138	136	417.62	-417.62
182	137	139	499.29	-499.29
183	137	130	-51.6916	51.6916
184	137	140	-15.8805	15.8805
185	139	134	-860.887	860.887
186	139	130	-491.262	491.262
187	139	141	-100.309	100.309
188	134	142	-99.9994	99.9994
189	140	134	-15.8811	15.8811
190	132	143	-20.5494	20.5494
191	132	144	-7.61489	7.61489
192	132	145	249.309	-249.309
193	143	135	43.1437	-43.1437
194	143	144	14.306	-14.306
195	146	135	-77.0679	77.0679
196	144	147	510.222	-510.222
197	147	148	174.83	-174.83
198	147	149	166.53	-166.53
199	147	150	166.125	-166.125
200	147	145	-47.9911	47.9911
201	147	151	-17.2623	17.2623
202	147	152	125.889	-125.889
203	148	153	189.251	-189.251
204	148	154	177.688	-177.688
205	148	155	188.69	-188.69
206	153	156	188.88	-188.88
207	153	157	0.370205	-0.370205
208	149	156	188.599	-188.599
209	149	157	-22.0703	22.0703
210	156	17	-37.6775	37.6775
211	156	150	-278.025	278.025
212	156	12	-23.4307	23.4307
213	156	158	-162.587	162.587
214	156	159	-240.718	240.718
215	156	155	-186.643	186.643
216	160	156	-1306.56	1306.56
217	150	161	-111.901	111.901
218	157	162	917.746	-917.746
219	157	155	-2.04681	2.04681
220	157	152	-185.069	185.069
221	157	163	-752.331	752.331
222	154	164	112.232	-112.232
223	154	165	65.4548	-65.4548
224	164	166	281.431	-281.431
225	166	162	-57.6065	57.6065
226	166	167	394.237	-394.237
227	162	168	-351.187	351.187
228	169	162	-248.897	248.897
229	162	170	217.708	-217.708
230	162	171	470.574	-470.574
231	162	172	547.746	-547.746
232	170	173	-381.596	381.596
233	172	173	-433.833	433.833
234	174	175	-20.6866	20.6866
235	176	174	92.2032	-92.2032
236	177	174	-707.889	707.889
237	168	178	82.8338	-82.8338
238	168	179	-12.4059	12.4059
239	168	180	9.63877	-9.63877
240	168	181	43.9366	-43.9366
241	168	182	61.0042	-61.0042
242	168	176	-148.496	148.496
243	178	181	28.1973	-28.1973
244	178	183	-84.5308	84.5308
245	179	184	193.714	-193.714
246	179	185	-149.621	149.621
247	184	88	-199.872	199.872
248	184	180	-82.6637	82.6637
249	184	186	-176.727	176.727
250	184	187	38.6317	-38.6317
251	180	181	171.255	-171.255
252	180	187	65.5294	-65.5294
253	180	188	-285.811	285.811
254	181	182	158.442	-158.442
255	186	189	-74.1029	74.1029
256	186	190	-39.625	39.625
257	158	161	-162.588	162.588
258	167	191	35.044	-35.044
259	191	192	-101.613	101.613
260	191	193	-81.7778	81.7778
261	194	195	28.2208	-28.2208
262	194	193	41.7785	-41.7785
263	196	195	-91.9517	91.9517
264	196	192	66.6136	-66.6136
265	197	196	-225.337	225.337
266	145	138	324.817	-324.817
267	151	138	59.8043	-59.8043
268	151	146	-77.0674	77.0674
269	198	197	-474.233	474.233
270	198	199	559.232	-559.232
271	169	197	248.896	-248.896
272	199	200	559.232	-559.232
273	201	200	-559.231	559.231
274	159	152	59.1814	-59.1814
275	175	202	-24.0145	24.0145
276	175	183	29.8271	-29.8271
277	202	183	54.7043	-54.7043
278	202	185	24.5484	-24.5484
279	202	203	60.2317	-60.2317
280	185	203	62.5467	-62.5467
281	185	190	-11.6199	11.6199
282	203	204	-102.792	102.792
283	204	189	-159.739	159.739
284	189	190	-22.7543	22.7543
285	189	188	216.311	-216.311
286	170	205	672.702	-672.702
287	165	206	202.254	-202.254
288	171	172	-683.152	683.152
289	205	172	-481.023	481.023
290	207	208	-19.9491	19.9491
291	207	209	11.215	-11.215
292	207	210	15.7336	-15.7336
293	211	212	-25.4983	25.4983
294	212	213	-472.725	472.725
295	212	214	-33.1106	33.1106
296	215	216	-839.647	839.647
297	217	215	666.558	-666.558
298	216	217	-39.6396	39.6396
299	218	219	23.4086	-23.4086
300	218	220	-27.1659	27.1659
301	218	208	3.75684	-3.75684
302	106	221	-36.5023	36.5023
303	106	222	-113.7	113.7
304	107	223	-78.7596	78.7596
305	107	221	-55.2629	55.2629
306	219	224	63.1731	-63.1731
307	219	210	9.74495	-9.74495
308	219	225	-39.5101	39.5101
309	224	226	90.9257	-90.9257
310	224	94	15.2469	-15.2469
311	226	227	-11.8989	11.8989
312	226	228	-69.7487	69.7487
313	209	226	49.2146	-49.2146
314	226	210	-98.5359	98.5359
315	226	94	-44.455	44.455
316	229	230	-3.56573	3.56573
317	229	210	38.5654	-38.5654
318	230	210	34.4926	-34.4926
319	230	231	-11.0588	11.0588
320	93	232	-9.09323	9.09323
321	227	94	26.1007	-26.1007
322	228	94	-27.7491	27.7491
323	232	220	23.3958	-23.3958
324	232	225	39.5104	-39.5104
325	220	233	-3.77048	3.77048
326	233	129	-0.964047	0.964047
327	233	208	9.19288	-9.19288
328	94	223	109.138	-109.138
329	223	234	30.3783	-30.3783
330	235	236	-275.065	275.065
331	236	234	-232.989	232.989
332	236	237	-20.0768	20.0768
333	234	238	-155.61	155.61
334	238	239	20.3894	-20.3894
335	239	240	-15.4945	15.4945
336	239	221	98.3713	-98.3713
337	239	241	37.5126	-37.5126
338	240	221	70.6086	-70.6086
339	241	240	-44.8975	44.8975
340	221	242	77.2138	-77.2138
341	241	243	-9.4898	9.4898
342	241	244	275.778	-275.778
343	243	245	-293.539	293.539
344	246	242	75.1835	-75.1835
345	245	247	134.465	-134.465
346	247	217	296.188	-296.188
347	247	248	11.286	-11.286
348	248	213	11.2888	-11.2888
349	249	213	231.597	-231.597
350	250	211	227.371	-227.371
351	250	213	-7.5229	7.5229
352	250	251	3.16123	-3.16123
353	211	252	348.878	-348.878
354	213	253	-548.639	548.639
355	213	242	470.296	-470.296
356	253	254	-100.631	100.631
357	251	255	9.20466	-9.20466
358	251	256	606.747	-606.747
359	251	242	-40.78	40.78
360	255	244	278.215	-278.215
361	257	242	-581.915	581.915
362	244	258	556.188	-556.188
363	214	259	-33.1053	33.1053
364	237	260	-74.622	74.622
365	237	261	-117.371	117.371
366	262	263	-57.4465	57.4465
367	262	260	-19.5	19.5
368	263	264	-57.4467	57.4467
369	260	264	-23.0446	23.0446
370	260	261	-10.0778	10.0778
371	264	261	-3.49149	3.49149
372	261	231	-69.9404	69.9404
373	231	265	-51.9996	51.9996
374	265	266	-22.9998	22.9998
375	56	267	50.0023	-50.0023
376	56	268	-24.8243	24.8243
377	56	269	-1.05892	1.05892
378	269	270	1.37018	-1.37018
379	269	270	1.37018	-1.37018
380	270	271	-7.17855	7.17855
381	270	272	-1.34977	1.34977
382	268	273	-7.93508	7.93508
383	268	273	-7.93508	7.93508
384	274	273	-6.91546	6.91546
385	273	275	-1.8398	1.8398
386	273	276	-1.3898	1.3898
387	273	277	-1.8898	1.8898
388	273	278	-1.54979	1.54979
389	273	279	-1.6598	1.6598
390	273	280	-3.02979	3.02979
391	273	281	-1.85979	1.85979
392	273	282	-2.57979	2.57979
393	273	283	-4.27865	4.27865
394	284	285	-1.0098	1.0098
395	284	286	-0.809806	0.809806
396	284	287	-1.59979	1.59979
397	283	284	-4.27886	4.27886
398	267	288	11.2684	-11.2684
399	267	289	-29.9997	29.9997
400	267	290	10.0788	-10.0788
401	267	291	50.5637	-50.5637
402	267	292	8.09041	-8.09041
403	268	274	-8.9546	8.9546
404	274	293	-1.01979	1.01979
405	274	294	-1.01979	1.01979
406	269	295	-3.79976	3.79976
407	271	296	-1.52977	1.52977
408	271	297	-0.899239	0.899239
409	297	298	-0.449788	0.449788
410	297	299	-0.449787	0.449787
411	290	300	-1.18974	1.18974
