Number of transmission lines	411	Number of fields	4
206	208	0.24	0.421
211	212	0.003	0.0122
212	215	0.0139	0.0778
213	214	0.0025	0.038
214	215	0.0017	0.0185
214	242	0.0015	0.0108
215	216	0.0045	0.0249
216	217	0.004	0.0497
217	218	0	0.0456
217	219	0.0005	0.0177
217	220	0.0027	0.0395
218	219	0.001	0.0354
220	218	0.0037	0.0484
219	237	0.0003	0.0018
220	221	0.001	0.0295
220	238	0.0016	0.0046
221	223	0.0003	0.0013
222	237	0.0014	0.0514
223	224	0.0012	0.0195
224	225	0.01	0.064
224	226	0.0019	0.0081
226	231	0.0005	0.0212
227	231	0.0009	0.0472
228	229	0.0019	0.0087
228	231	0.0026	0.0917
228	234	0.0013	0.0288
229	230	0.001	0.0332
231	232	0.0002	0.0069
231	237	0.0001	0.0006
232	233	0.0017	0.0485
234	235	0.0002	0.0259
234	236	0.0005	0.016
234	237	0.0006	0.0272
235	238	0.0002	0.0006
241	237	0.0005	0.0154
238	239	0.0005	0.016
240	281	0.0003	0.0043
242	245	0.0082	0.0851
242	247	0.0112	0.0723
243	244	0.0127	0.0355
243	245	0.0326	0.1804
244	246	0.0195	0.0551
245	246	0.0157	0.0732
245	247	0.036	0.2119
246	247	0.0268	0.1285
247	248	0.0428	0.1215
248	249	0.0351	0.1004
249	250	0.0616	0.1857
9001	9005	0.0008	0.00348
9001	9006	0.02439	0.43682
9001	9012	0.03624	0.64898
9012	9002	0.07622	0.43286
9012	9002	0.07622	0.43286
9002	9021	0.0537	0.07026
9002	9024	0.50748	3.2202
9006	9003	0.11118	0.49332
9006	9003	0.11118	0.49332
9007	9003	0.0558	0.24666
9003	9031	0.73633	4.6724
9003	9032	0.76978	4.8846
9003	9033	0.75732	4.8056
9003	9034	0.13006	1.3912
9003	9035	0.54484	3.4572
9003	9036	0.15426	1.6729
9003	9037	0.3849	2.5712
9003	9038	0.4412	2.9668
9003	9044	0.07378	0.06352
9004	9041	0.36614	2.456
9004	9042	1.0593	5.4536
9004	9043	0.1567	1.6994
9044	9004	0.03832	0.02894
9005	9051	0.01578	0.37486
9005	9052	0.01578	0.37486
9005	9053	0.01602	0.38046
9005	9054	0	0.152
9005	9055	0	0.8
9006	9007	0.05558	0.24666
9007	9071	0.4412	2.9668
9007	9072	0.30792	2.057
9012	9121	0.23552	0.99036
9021	9022	0.44364	2.8152
9021	9023	1.1068	0.95278
9023	9025	0.66688	3.944
9023	9026	0.6113	3.6152
9053	9533	0	0.75
